,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,No,Datetime,Tweet,Artist,Genre,song,Album,Unnamed: 5,Sentiment
0,0,0,0,1,1/17/2019 7:36,"b'looked up the lyrics to this and went ""oh  #nowplaying from paris to berlin  infernal'",Infernal,Trance,From Paris to Berlin,From Paris to Berlin,,Neutral
1,1,1,1,2,1/17/2019 7:36,b'#nowplaying #NPbot Truth  TrySail  Truth.',TrySail,Anime,Truth,TrySail,,Neutral
2,2,2,2,4,1/17/2019 7:36,b'#NowPlaying Bob Seger The Silver Bullet Band  Old Time Rock And Roll : Tune In ',Bob Seger,Rock,The Silver Bullet Band  Old Time Rock And Roll,Stranger in Town,,Positive
3,3,3,3,6,1/17/2019 7:36,b'#NowPlaying The Drifters Saturday Night At The Movies [HLz  Unknown #TuneIn #AmazonEcho #InternetRadio \n',The Drifters,Rock,The Drifters Saturday Night At The Movies,Save the Last Dance for Me,,Negative
4,4,4,4,7,1/17/2019 7:36,b'Jona Bird  Fliehn #nowplaying',Jona Bird,Alternative,Jona Bird  Fliehn,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,,Neutral
5,5,5,5,8,1/17/2019 7:36,b'#NowPlaying Der Kommissar (7 Version by After the Fire',After the Fire,Rock,Der Kommissar,Der Kommissar,,Neutral
6,6,6,6,9,1/17/2019 7:36,b'#NowPlaying on Angie FM Sexy Eyes  Dr Hook #retro   ',Dr. Hook & the Medicine Show,Rock,Sexy Eyes  Dr Hook,Sometimes You Win,,Positive
7,7,7,7,10,1/17/2019 7:36,"b""RT   #NowPlaying  Boston  It's Easy    #ClassicRock""",Boston,Pop,Boston It's Easy,Don't Look Back,,Positive
8,8,8,8,12,1/17/2019 7:36,b'#NowPlaying Saint Asonia  Better Place',Saint Asonia,Rock,Saint Asonia  Better Place,Saint Asonia,,Positive
9,9,9,9,13,1/17/2019 7:36,b'#NowPlaying ROKE  Morte Perfeita  dark new school trap amor vida slow )',ROKE,Pop,Morte Perfeita,dark new school trap amor vida slow,,Negative
10,10,10,10,14,1/17/2019 7:36,b'#NowPlaying Logic  City Of Stars \n#903networkradio',Logic,Rap,City Of Stars,The Incredible True Story,,Neutral
11,11,11,11,15,1/17/2019 7:35,b'#live  #onlineradioever      #NowPlaying   Chris Brown  Questions  \n#music     #HappyNewYear',Chris Brown,Pop,Questions,Heartbreak on a Full Moon,,Positive
12,12,12,12,17,1/17/2019 7:35,"b""#NowPlaying Casting Crowns  If We've Ever Needed You via """,Casting Crowns,Christian,If We've Ever Needed You via ,Until the Whole World Hears,,Neutral
13,13,13,13,18,1/17/2019 7:35,b'Bunga Citra Lestari  Jera #NowPlaying Download player',Bunga Citra Lestari,POP,Jera,Bunga Citra Lestari  Jera,,Neutral
14,14,14,14,20,1/17/2019 7:35,"b""#NowPlaying Won't He Do It   by   Listen online at  """,Koryn Hawthorne,Soul,Won't He Do It,Greenleaf,,Neutral
15,15,15,15,21,1/17/2019 7:35,b'#NowPlaying Better by Hezekiah Walker on #UrbanRadio Gospel Hits ',Hezekiah Walker,Christian, Better,Azusa The Next Generation 2,,Positive
16,16,16,16,23,1/17/2019 7:35,"b""#NOWPLAYING Lil Woot  Can't Be Denied 2  Flip Sum (Explicit Circle Radio  """,Lil Woot,Rap,Flip Sum,Can't Be Denied 2,,Neutral
17,17,17,17,24,1/17/2019 7:35,"b""#NowPlaying Drew Davidsen  I Can't Help It : Tune In    Buy It  """,Drew Davidsen,Jazz,I Can't Help It,True Drew,,Neutral
18,18,18,18,25,1/17/2019 7:35,b'#NowPlaying on  Up All Night by  ',One Direction,Rock,Up All Night,Syco Music,,Neutral
19,19,19,19,26,1/17/2019 7:35,b'Smile by Durand Jones and The Indications from Durand Jones and The Indications #NowPlaying #CollegeRadio',Durand Jones and The Indications,Pop,Smile,Durand Jones and The Indications,,Positive
20,20,20,20,27,1/17/2019 7:35,b'#Nowplaying Ame no parade  Whats your name?',Ame No Parade,Rock,Whats your name?, Reason of Black Color,,Negative
21,21,21,21,28,1/17/2019 7:35,b'#NowPlaying N I B by Black Sabbath', Black Sabbath,rock,N I B,Black Sabbath,,Negative
22,22,22,22,29,1/17/2019 7:35,b'#nowplaying   GARNiDELiA',Mai Mizuhashi & Toku-P,POP,GARNiDELiA,Sacra Music,,Neutral
23,23,23,23,31,1/17/2019 7:35,b'HERBERT VON KARAJAN BERLINER PHILLHARMONIKER VON LUDWIG VAN BEETHOVEN BEI DER PROBE DER IX SYMPHONIES D-MOLL OP ',HERBERT VON KARAJAN,POP, BERLINER PHILLHARMONIKER VON LUDWIG VAN BEETHOVEN ,BEI DER PROBE DER IX SYMPHONIES D-MOLL OP,,Neutral
24,24,24,24,32,1/17/2019 7:35,b'#Nowplaying on the station Guena LG &amp Amir Afargan feat Sophie Ellis-Bextor  Back 2 Paradise (Main Version ',Guena LG & Amir Afargan,Electronic,Back 2 Paradise,Album: Momentum,,Positive
25,25,25,25,33,1/17/2019 7:35,b'#nowplaying the Underside of Power  Algiers (The Underside of Power  2017  ',Algiers,Pop,the Underside of Power,Algiers,,Neutral
26,26,26,26,34,1/17/2019 7:35,b'#NowPlaying 39 Lafayette Street by Jerry Goldsmith   Seconds ',Jerry Goldsmith,POP,Seconds,Lafayette Street,,Neutral
27,27,27,27,35,1/17/2019 7:35,b'VeeJay (Prod TFI  GBEMISAYA  #NowPlaying on Da Blessing Production Radio \nlisten at  ',CDQ,christian,GBEMISAYA,Quality,,Neutral
28,28,28,28,36,1/17/2019 7:35,b'#NowPlaying Stop Look Listen (To Your Heart by The Stylistics on #UrbanRadio Smooth R&amp;B ',The Stylistics,pop,Stop Look Listen,The Stylistics,,Positive
29,29,29,29,37,1/17/2019 7:35,"b""I'm listening to   with   #NowPlaying """,Chris McClarney,Christian,I'm listening to with,Breakthrough,,Neutral
30,30,30,30,38,1/17/2019 7:35,"b'#NowPlaying ""We\'ll Always Love Big Poppa by The Lox on   '",The Lox,Contemporary ,We'll Always Love Big Poppa,Money & Power & Respect,,Negative
31,31,31,31,39,1/17/2019 7:35,b'#NowPlaying Award Tour by A Tribe Called Quest on #UrbanRadio Old School Hip Hop ',A Tribe Called Quest,Rap,A Tribe Called Quest,Midnight Marauders,,Positive
32,32,32,32,40,1/17/2019 7:35,"b""#NowPlaying Concerto per violoncello e orchestra d'archi in re maggiore by Giuseppe Tartini (1692-1770 #Bosna """,Giuseppe Tartini,Christian,Concerto per violoncello, e orchestra d'archi in re maggiore,,Neutral
33,33,33,33,41,1/17/2019 7:35,b'#NowPlaying Starboy by The Weeknd on #UrbanRadio New R&amp;B ',The Weeknd,Soul,Starboy,Starboy,,Positive
34,34,34,34,45,1/17/2019 7:35,b'#NowPlaying Julia Michaels  Issues (Alan Walker Remix)',Julia Michaels,pop,Issues,Nervous System,,Neutral
35,35,35,35,46,1/17/2019 7:35,b'Ahora Escuchas a Dire Straits  Walk Of Life #NowPlaying ', Dire Straits,rock,Walk Of Life,Brothers in Arms,,Neutral
36,36,36,36,48,1/17/2019 7:34,b'#NowPlaying ZZ Top  Decision Or Collision (91 Listen at  ', ZZ Top,Rock,Decision Or Collision, Recycler,,Positive
37,37,37,37,49,1/17/2019 7:34,b'#Nowplaying on    Domenique Dumont  Sans Cesse Mon Chri', Domenique Dumont,Electronic,Sans Cesse Mon Chri,Miniatures de auto rhythm,,Neutral
38,38,38,38,50,1/17/2019 7:34,b'#NowPlaying Luke Bryan  #LightItUp On ',Luke Bryan,Country,Light It Up On,What Makes You Country,,Neutral
39,39,39,39,52,1/17/2019 7:34,b'#NowPlaying on AM1700   Wynton Marsalis Septet  Winter Wonderland',Wynton Marsalis Septet,christian,winter wonderland,Christmas,,Neutral
40,40,40,40,54,1/17/2019 7:34,b'RT   #NowPlaying   #bigplans',Why Don't We,pop,big plans,big plans,,Neutral
41,41,41,41,56,1/17/2019 7:34,"b'Listening to "" ISAYEVA  Keep It Real (April 2018)  by O ISAYEVA #nowplaying'",KYLE,pop,keep it real, Beautiful Loser,,Negative
42,42,42,42,57,1/17/2019 7:34,b'Pity Me by Paula Standing  #NowPlaying', Paula Standing,Folk,Pity Me ,Good Heart,,Negative
43,43,43,43,58,1/17/2019 7:34,b'RT   #NowPlaying   #bigplans',Why Don't We,pop,big plans,big plans,,Neutral
44,44,44,44,59,1/17/2019 7:34,b'#Nowplaying Give It A Go  Pet Shop Boys (Elysium ', Pet Shop Boys,Electronic,Give It A Go , Elysium,,Neutral
45,45,45,45,63,1/17/2019 7:34,b'#NowPlaying   #bigplans',Why Don't We,pop,big plans,big plans,,Neutral
46,46,46,46,65,1/17/2019 7:34,b'Skycraper  Demi Lovato #NowPlaying #IstaraFM [14:34 wib]', Demi Lovato,pop,skyscraper,Unbroken,,Neutral
47,47,47,47,67,1/17/2019 7:34,b'#Nowplaying Rabbit Hole   ', Blink-182,rock,rabbit hole ,California,,Neutral
48,48,48,48,69,1/17/2019 7:34,"b""#NowPlaying Vogue (12'' by Madonna on  in #RVA  Please Like &amp RT #80sChildRadio""", Madonna,pop,vogue ,I'm Breathless,,Neutral
49,49,49,49,70,1/17/2019 7:34,b'Strange Fish by SENDELICA.. #nowPlaying at  #instrumentalmusic  Turn On Tune In Wig Out.', SENDELICA,rock,Strange Fish ,Strange Fish,,Negative
50,50,50,50,71,1/17/2019 7:34,b'#NowPlaying Purity    Mighty God (Reloaded  Ft Mike Abdul on ',Mike Abdul,rock,Mighty God,Purity    ,,Negative
51,51,51,51,72,1/17/2019 7:34,"b""#NowPlaying Beyonce  President's Daughter  Save my soul                                   Save My Soul(1 on #LifecomRadio.org,uk""",Beyonce,pop,Save my soul,President's Daughter,,Neutral
52,52,52,52,73,1/17/2019 7:34,b'#NowPlaying Mi Cama [XBF  Karol G Ft J Balvin Y Nicky Jam solo por ', Karol G& J Balvin,Pop,Mi Cama,Nicky Jam,,Neutral
53,53,53,53,74,1/17/2019 7:34,b'#NowPlaying Reasons by Earth Wind &amp Fire on #UrbanRadio Slow Jams ',Earth,funk,Reasons by Earth Wind,That's the Way of the World,,Negative
54,54,54,54,75,1/17/2019 7:34,b'#Nowplaying Daydream Syndrome   ',Marina Fujiwara,Anime,Daydream Syndrome,Daydream Syndrome,,Neutral
55,55,55,55,77,1/17/2019 7:34,b'#NowPlaying 24k Magic by Bruno Mars on #UrbanRadio Hip Hop and R&amp;B ',Bruno Mars ,pop,24k Magic ,24k Magic,,Positive
56,56,56,56,78,1/17/2019 7:34,b'Mother by Danzig  #NowPlaying',Danzig, Alt Metal,Mother,Danzig,,Neutral
57,57,57,57,79,1/17/2019 7:34,b'Happy Birthday by Golf Pichaya  #NowPlaying',Golf Pichaya,Pop,Happy Birthday, Pichaya,,Negative
58,58,58,58,80,1/17/2019 7:34,b'albumELECTRO ASYL-BOP -SOUL FLOWER UNION #SOULFLOWERUNION #nowplaying',Soul Flower Union,rock,ELECTRO ASYL-BOP,ELECTRO ASYL-BOP,,Neutral
59,59,59,59,82,1/17/2019 7:34,b'D12  Shit on you  #nowplaying',D12,pop,Shit on you  , Devil's Night,,Negative
60,60,60,60,84,1/17/2019 7:34,b'Te Quiero un Poco by Carlos Sadness  #NowPlaying',Carlos Sadness,pop,Te Quiero un Poco , Diferentes Tipos de Luz,,Neutral
61,61,61,61,86,1/17/2019 7:34,b'NE1fm 102.5 is #NowPlaying  Army of Two by Olly Murs',Olly Murs,Christian,Army of Two,Right Place Right Time,,Neutral
62,62,62,62,87,1/17/2019 7:34,"b""  Madelyn Victoria #Music now playing on   with 2 albums ''Madelyn Victoria'' ''Right Her """,Madelyn Victoria,Country,Right Here,Right Here,,Negative
63,63,63,63,88,1/17/2019 7:34,b'#NowPlaying Light the way [U9A  Phil Thompson', Phil Thompson,christian,Light the way,My Worship,,Negative
64,64,64,64,89,1/17/2019 7:34,b'Ci vogliamo bene di #Mameli  #NowPlaying',Mameli ,christian,Ci vogliamo bene di,Ci vogliamo,,Neutral
65,65,65,65,90,1/17/2019 7:34,b'Little Jesus  Pesadilla  #NowPlaying',Pesadilla ,christian,Little Jesus ,Little Jesus,,Negative
66,66,66,66,91,1/17/2019 7:34,b'#NowPlaying Tony McLendon  You Said It You Said It Tony McLendon Tony McLendon  You Said It',Tony McLendon,Soul,You Said It,You Said It,,Neutral
67,67,67,67,92,1/17/2019 7:34,b'#NowPlaying Natti Natasha  Quien Sabe En  #elblokeradio',Natti Natasha,pop,Quien Sabe ,Lo Nuestro ,,Neutral
68,68,68,68,95,1/17/2019 7:34,"b'#NowPlaying Spirit in the Sky (From ""Remem.. by The Star-Lord\'s on #Anghami '",Norman Greenbaum,Rock,Spirit in the Sky,Spirit in the Sky,,Neutral
69,69,69,69,96,1/17/2019 7:33,b'#nowplaying Modern of Ghost (bonus track  DJ SHARPNEL  Invisible Trigger ', DJ Sharpnel,Anime,Modern of Ghost ,Invisible Trigger,,Positive
70,70,70,70,97,1/17/2019 7:33,b'#nowplaying Coldplay Feat Beyonce  Hymn For The Weekend  Alb A Head Full Of Dreams ',Beyonce & Coldplay ,pop, Hymn For The Weekend  Alb, A Head Full Of Dreams,,Positive
71,71,71,71,99,1/17/2019 7:33,b'Brooklyn (Owes The Charmer Under Me by Steely Dan  #NowPlaying',Steely Dan,Pop,Brooklyn Owes The Charmer Under Me,Can't Buy a Thrill,,Neutral
72,72,72,72,100,1/17/2019 7:33,b'#NowPlaying on  Connection by onerepublic',OneRepublic,pop,Connection,OneRepublic,,Neutral
73,73,73,73,101,1/17/2019 7:33,b'Radio Wigwam  pre Bandwagon Block #nowplaying\nListen now at ',Radio Wigwam,rap,Radio Wigwam,pre Bandwagon Block,,Neutral
74,74,74,74,103,1/17/2019 7:33,b'Fatboy Slim  Praise You  #NowPlaying #6music',Fatboy Slim,Pop,Praise You,You've Come a Long Way Baby,,Neutral
75,75,75,75,104,1/17/2019 7:33,"b""KhalidLoveLies\n\nWhy Don't WeBIG PLANS  #NowPlaying""",Khalid,rock,Love Lies, Why Don't We BIG PLANS,,Neutral
76,76,76,76,105,1/17/2019 7:33,b' \n\n#NowPlaying',Yuuki Aoi ,Anime,Kaeru Basho ga Aru to Iu Koto   ,Kaeru Basho ga Aru to Iu Koto  Yuuki Aoi ,,Neutral
77,77,77,77,106,1/17/2019 7:33,b'#NowPlaying   Kaeru Basho ga Aru to Iu Koto  Yuuki Aoi   tune in to #animeblastradio.com',TobyMac,Christian,Undeniable,This Is Not a Test,,Neutral
78,78,78,78,107,1/17/2019 7:33,b'#NowPlaying TobyMac  Undeniable : Tune In ',Sergey Rybytskyy,New Age,Chameleon,New Vista,,Neutral
79,79,79,79,110,1/17/2019 7:33,b'#NowPlaying San Diego by Hinds  ',Hinds,Alternative,San Diego, Leave Me Alone,,Neutral
80,80,80,80,111,1/17/2019 7:33,b'RT   Ada yg baru niiiii~    Sappy #NowPlaying ',Sappy,pop,Ada yg baru ni,Ada yg baru ni Sappy,,Neutral
81,81,81,81,112,1/17/2019 7:33,b'#NowPlaying Club Trini  No Woman No Cry on Summer Wind Radio #troprock #parrothead #troprockmusic',Bob Marley,Reggae,No Woman No Cry,live!,,Neutral
82,82,82,82,113,1/17/2019 7:33,b'SPEED STAR -Album Ver. by GARNiDELiA (G.R.N.D. #nowplaying ', GARNiDELiA ,pop,SPEED STAR,Ver,,Neutral
83,83,83,83,114,1/17/2019 7:33,b'#NowPlaying Toska  Blut Own x Blure',Toska ,rock,Blut Own x Blur,Whispering Meadow,,Positive
84,84,84,84,115,1/17/2019 7:33,b'#NowPlaying Confluence Of Feelings (Intro Mix  Dmitriy Kuznetsov &amp Ruslan Device',Ruslan Device & Dmitriy Kuznetsov,Trance,Confluence Of Feelings,Dmitriy Kuznetsov & Ruslan Device,,Neutral
85,85,85,85,117,1/17/2019 7:33,b'#NowPlaying Iranlowo Mi (My Help by Oga Sam on #UrbanRadio NewMusicInsite ',Oga Sam ,pop,My Help,Iranlowo Mi,,Neutral
